timestamp,game,latency,map,player,victim,final_score
2024-05-23 11:41:33,0,0,,Player_172.19.119.51,Player_172.19.114.48,5
2024-05-23 11:43:10,0,0,,Player_172.19.120.104,Player_172.19.116.18,2
2024-05-23 11:43:19,0,0,,Player_172.19.117.18,Player_172.19.120.104,18
2024-05-23 11:43:27,0,0,,Player_172.19.116.18,Player_172.19.120.104,5
2024-05-23 11:43:32,0,0,,Player_172.19.137.208,Player_172.19.116.18,11
2024-05-23 11:43:37,0,0,,Player_172.19.114.48,Player_172.19.119.51,17
2024-05-23 11:45:00,1,0,aggressor,Player_172.19.116.18,Player_172.19.137.208,2
2024-05-23 11:47:59,1,0,aggressor,Player_172.19.117.18,Player_172.19.114.48,19
2024-05-23 11:48:22,1,0,aggressor,Player_172.19.119.51,Player_172.19.114.48,18
2024-05-23 11:48:30,1,0,aggressor,Player_172.19.120.104,Player_172.19.119.51,6
2024-05-23 11:48:39,1,0,aggressor,Player_172.19.137.208,Player_172.19.120.104,17
2024-05-23 11:48:45,1,0,aggressor,Player_172.19.114.48,Player_172.19.137.208,24
2024-05-23 11:50:51,2,0,wrackdm17,Player_172.19.116.18,Player_172.19.137.208,1
2024-05-23 11:53:34,2,0,wrackdm17,Player_172.19.120.104,Player_172.19.117.18,4
2024-05-23 11:53:39,2,0,wrackdm17,Player_172.19.114.48,Player_172.19.119.51,22
2024-05-23 11:53:53,2,0,wrackdm17,Player_172.19.137.208,Player_172.19.116.18,13
2024-05-23 11:53:59,2,0,wrackdm17,Player_172.19.117.18,Player_172.19.120.104,10
2024-05-23 11:54:05,2,0,wrackdm17,Player_172.19.119.51,Player_172.19.114.48,17
2024-05-23 12:01:01,3,0,wrackdm17,Player_172.19.116.18,Player_172.19.120.104,3
2024-05-23 12:03:37,3,0,wrackdm17,Player_172.19.120.104,Player_172.19.119.51,15
2024-05-23 12:04:07,3,0,wrackdm17,Player_172.19.114.48,Player_172.19.120.104,41
2024-05-23 12:04:24,3,0,wrackdm17,Player_172.19.137.208,Player_172.19.120.104,31
2024-05-23 12:04:24,3,0,wrackdm17,Player_172.19.119.51,Player_172.19.114.48,30
2024-05-23 12:04:30,3,0,wrackdm17,Player_172.19.117.18,Player_172.19.137.208,26
2024-05-23 12:10:00,5,0,kaos2,Player_172.19.119.51,Player_172.19.116.18,1
2024-05-23 12:17:16,6,200,aggressor,Player_172.19.137.208,Player_172.19.117.18,12
2024-05-23 12:18:06,6,200,aggressor,Player_172.19.120.104,Player_172.19.116.18,3
2024-05-23 12:18:24,6,200,aggressor,Player_172.19.116.18,Player_172.19.120.104,1
2024-05-23 12:18:32,6,200,aggressor,Player_172.19.114.48,Player_172.19.117.18,22
2024-05-23 12:18:40,6,200,aggressor,Player_172.19.119.51,Player_172.19.114.48,9
2024-05-23 12:18:55,6,200,aggressor,Player_172.19.117.18,Player_172.19.120.104,23
2024-05-23 12:22:42,7,200,wrackdm17,Player_172.19.137.208,Player_172.19.119.51,5
2024-05-23 12:23:15,7,200,wrackdm17,Player_172.19.120.104,Player_172.19.117.18,5
2024-05-23 12:23:35,7,200,wrackdm17,Player_172.19.117.18,Player_172.19.137.208,16
2024-05-23 12:23:56,7,200,wrackdm17,Player_172.19.119.51,Player_172.19.116.18,6
2024-05-23 12:24:11,7,200,wrackdm17,Player_172.19.114.48,Player_172.19.116.18,11
2024-05-23 12:28:54,8,200,aggressor,Player_172.19.116.18,Player_172.19.120.104,5
2024-05-23 12:29:04,8,200,aggressor,Player_172.19.119.51,Player_172.19.117.18,20
2024-05-23 12:29:14,8,200,aggressor,Player_172.19.114.48,Player_172.19.119.51,23
2024-05-23 12:29:18,8,200,aggressor,Player_172.19.137.208,Player_172.19.114.48,22
2024-05-23 12:29:26,8,200,aggressor,Player_172.19.117.18,Player_172.19.119.51,15
2024-05-23 12:30:20,9,200,wrackdm17,Player_172.19.120.104,Player_172.19.119.51,1
2024-05-23 12:34:44,9,200,wrackdm17,Player_172.19.119.51,Player_172.19.137.208,12
2024-05-23 12:34:53,9,200,wrackdm17,Player_172.19.137.208,Player_172.19.116.18,8
2024-05-23 12:35:01,9,200,wrackdm17,Player_172.19.117.18,Player_172.19.114.48,13
2024-05-23 12:35:01,9,200,wrackdm17,Player_172.19.114.48,Player_172.19.117.18,14
2024-05-23 12:47:52,11,50,aggressor,Player_172.19.120.104,Player_172.19.116.18,2
2024-05-23 12:50:47,11,50,aggressor,Player_172.19.119.51,Player_172.19.120.104,21
2024-05-23 12:50:51,11,50,aggressor,Player_172.19.114.48,Player_172.19.117.18,20
2024-05-23 12:51:01,11,50,aggressor,Player_172.19.116.18,Player_172.19.114.48,4
2024-05-23 12:51:02,11,50,aggressor,Player_172.19.137.208,Player_172.19.116.18,16
2024-05-23 12:51:03,11,50,aggressor,Player_172.19.117.18,Player_172.19.120.104,19
2024-05-23 12:51:43,12,50,wrackdm17,Player_172.19.120.104,Player_172.19.116.18,1
2024-05-23 12:53:17,12,50,wrackdm17,Player_172.19.116.18,Player_172.19.120.104,1
2024-05-23 12:55:44,12,50,wrackdm17,Player_172.19.117.18,Player_172.19.119.51,12
2024-05-23 12:56:16,12,50,wrackdm17,Player_172.19.137.208,Player_172.19.117.18,9
2024-05-23 12:56:16,12,50,wrackdm17,Player_172.19.119.51,Player_172.19.120.104,10
2024-05-23 12:56:28,12,50,wrackdm17,Player_172.19.114.48,Player_172.19.119.51,14
2024-05-23 13:00:58,13,50,aggressor,Player_172.19.120.104,Player_172.19.116.18,8
2024-05-23 13:01:07,13,50,aggressor,Player_172.19.137.208,Player_172.19.120.104,28
2024-05-23 13:01:12,13,50,aggressor,Player_172.19.116.18,Player_172.19.117.18,3
2024-05-23 13:01:15,13,50,aggressor,Player_172.19.119.51,Player_172.19.120.104,16
2024-05-23 13:01:27,13,50,aggressor,Player_172.19.117.18,Player_172.19.119.51,15
2024-05-23 13:01:35,13,50,aggressor,Player_172.19.114.48,Player_172.19.119.51,20
2024-05-23 13:05:36,14,50,wrackdm17,Player_172.19.116.18,Player_172.19.137.208,2
2024-05-23 13:05:57,14,50,wrackdm17,Player_172.19.117.18,Player_172.19.120.104,9
2024-05-23 13:06:29,14,50,wrackdm17,Player_172.19.137.208,Player_172.19.114.48,12
2024-05-23 13:06:39,14,50,wrackdm17,Player_172.19.119.51,Player_172.19.120.104,23
2024-05-23 13:06:50,14,50,wrackdm17,Player_172.19.114.48,Player_172.19.137.208,11
2024-05-23 13:09:26,15,50,kaos2,Player_172.19.120.104,Player_172.19.117.18,1
2024-05-23 13:09:50,15,50,kaos2,Player_172.19.119.51,Player_172.19.117.18,2
2024-05-23 13:14:27,16,150,aggressor,Player_172.19.116.18,Player_172.19.119.51,7
2024-05-23 13:14:37,16,150,aggressor,Player_172.19.119.51,Player_172.19.116.18,20
2024-05-23 13:14:40,16,150,aggressor,Player_172.19.137.208,Player_172.19.114.48,10
2024-05-23 13:14:43,16,150,aggressor,Player_172.19.120.104,Player_172.19.117.18,7
2024-05-23 13:14:51,16,150,aggressor,Player_172.19.117.18,Player_172.19.120.104,27
2024-05-23 13:14:58,16,150,aggressor,Player_172.19.114.48,Player_172.19.119.51,26
2024-05-23 13:17:35,17,150,wrackdm17,Player_172.19.116.18,Player_172.19.117.18,1
2024-05-23 13:18:51,17,150,wrackdm17,Player_172.19.117.18,Player_172.19.114.48,6
2024-05-23 13:19:14,17,150,wrackdm17,Player_172.19.137.208,Player_172.19.119.51,12
2024-05-23 13:19:36,17,150,wrackdm17,Player_172.19.119.51,Player_172.19.116.18,12
2024-05-23 13:19:55,17,150,wrackdm17,Player_172.19.114.48,Player_172.19.137.208,12
2024-05-23 13:20:08,17,150,wrackdm17,Player_172.19.120.104,Player_172.19.117.18,4
2024-05-23 13:23:44,18,150,aggressor,Player_172.19.120.104,Player_172.19.117.18,4
2024-05-23 13:25:03,18,150,aggressor,Player_172.19.116.18,Player_172.19.120.104,3
2024-05-23 13:25:04,18,150,aggressor,Player_172.19.137.208,Player_172.19.117.18,18
2024-05-23 13:25:11,18,150,aggressor,Player_172.19.119.51,Player_172.19.114.48,13
2024-05-23 13:25:28,18,150,aggressor,Player_172.19.114.48,Player_172.19.116.18,24
2024-05-23 13:25:35,18,150,aggressor,Player_172.19.117.18,Player_172.19.119.51,10
2024-05-23 13:29:04,19,150,wrackdm17,Player_172.19.116.18,Player_172.19.120.104,1
2024-05-23 13:29:39,19,150,wrackdm17,Player_172.19.117.18,Player_172.19.137.208,10
2024-05-23 13:29:45,19,150,wrackdm17,Player_172.19.119.51,Player_172.19.114.48,4
2024-05-23 13:30:10,19,150,wrackdm17,Player_172.19.120.104,Player_172.19.116.18,5
2024-05-23 13:30:37,19,150,wrackdm17,Player_172.19.137.208,Player_172.19.116.18,11
2024-05-23 13:30:42,19,150,wrackdm17,Player_172.19.114.48,Player_172.19.120.104,17
